ipython                  Interactive computing in Python                                               https://ipython.org/
isl                      Integer Set Library for the polyhedral model                                  https://libisl.sourceforge.io/
jenv                     Manage your Java environment                                                  https://www.jenv.be/
jpeg                     Image manipulation library                                                    https://www.ijg.org/
jq                       Lightweight and flexible command-line JSON processor                          https://jqlang.github.io/jq/
k6                       Modern load testing tool, using Go and JavaScript                             https://k6.io
launchctl-completion     Bash completion for Launchctl                                                 https://github.com/CamJN/launchctl-completion
libao                    Cross-platform Audio Library                                                  https://www.xiph.org/ao/
libcue                   Cue sheet parser library for C                                                https://github.com/lipnitsk/libcue
libffi                   Portable Foreign Function Interface library                                   https://sourceware.org/libffi/
liblqr                   C/C++ seam carving library                                                    https://liblqr.wikidot.com/
libmagic                 Implementation of the file(1) command                                         https://www.darwinsys.com/file/
libogg                   Ogg Bitstream Library                                                         https://www.xiph.org/ogg/
libpaper                 Library for handling paper characteristics                                    https://github.com/rrthomas/libpaper
libsndfile               C library for files containing sampled sound                                  https://libsndfile.github.io/libsndfile/
libsodium                NaCl networking and cryptography library                                      https://libsodium.org/
libtool                  Generic library support script                                                https://www.gnu.org/software/libtool/
libvo-aacenc             VisualOn AAC encoder library                                                  https://opencore-amr.sourceforge.net/
libvorbis                Vorbis General Audio Compression Codec                                        https://xiph.org/vorbis/
libyaml                  YAML Parser                                                                   https://github.com/yaml/libyaml
llm                      Access large language models from the command-line                            https://llm.datasette.io/
luarocks                 Package manager for the Lua programming language                              https://luarocks.org/
mackup                   Keep your Mac's application settings in sync                                  https://github.com/lra/mackup
mad                      MPEG audio decoder                                                            https://www.underbit.com/products/mad/
mas                      Mac App Store command-line interface                                          https://github.com/mas-cli/mas
mbedtls                  Cryptographic & SSL/TLS library                                               https://tls.mbed.org/
mercurial                Scalable distributed version control system                                   https://mercurial-scm.org/
micromamba               Fast Cross-Platform Package Manager                                           https://github.com/mamba-org/mamba
mp3info                  MP3 technical info viewer and ID3 1.x tag editor                              https://www.ibiblio.org/mp3info/
mp4v2                    Read, create, and modify MP4 files                                            https://mp4v2.org
mpfr                     C library for multiple-precision floating-point computations                  https://www.mpfr.org/
mupdf                    Lightweight PDF and XPS viewer                                                https://mupdf.com/
mysql                    Open source relational database management system                             https://dev.mysql.com/doc/refman/8.3/en/
nb                       Command-line and local web note-taking, bookmarking, and archiving            https://xwmx.github.io/nb
neofetch                 Fast, highly customisable system info script                                  https://github.com/dylanaraps/neofetch
netpbm                   Image manipulation                                                            https://netpbm.sourceforge.net/
node                     Platform built on V8 to build network applications                            https://nodejs.org/
ollama                   Create, run, and share large language models (LLMs)                           https://ollama.com/
oniguruma                Regular expressions library                                                   https://github.com/kkos/oniguruma/
openblas                 Optimized BLAS library                                                        https://www.openblas.net/
openexr                  High dynamic-range image file format                                          https://www.openexr.com/
openssl@3                Cryptography and SSL/TLS Toolkit                                              https://openssl.org/
ossp-uuid                ISO-C API and CLI for generating UUIDs                                        https://web.archive.org/web/www.ossp.org/pkg/lib/uuid/
p7zip                    7-Zip (high compression file archiver) implementation                         https://github.com/p7zip-project/p7zip
pandoc                   Swiss-army knife of markup format conversion                                  https://pandoc.org/
